Investors,InvestorLink,Latest,Seed,Growth,Legal,GRC,RiskTech,FinTech,WealthTech,Participation
Y Combinator,https://www.crunchbase.com/organization/y-combinator,Oct 2024,954,497,119,441,81,394,58,96915675386
Alumni Ventures,https://www.crunchbase.com/organization/alumni-ventures-group,Oct 2024,278,531,71,220,79,236,47,114897518367
M25,https://www.crunchbase.com/organization/M25-VC,Oct 2024,34,12,36,7,0,0,3,397820000
AltaIR Capital,https://www.crunchbase.com/organization/altair,Oct 2024,43,54,34,8,6,10,22,2458026750
Atomico,https://www.crunchbase.com/organization/atomico,Oct 2024,9,113,32,46,0,18,0,45774690946
UBS,https://www.crunchbase.com/organization/ubs,Oct 2024,12,73,24,5,0,28,15,288885665721
Google Ventures,https://www.crunchbase.com/organization/google-ventures,Oct 2024,12,219,24,53,38,47,0,74659945716
General Catalyst,https://www.crunchbase.com/organization/general-catalyst-partners,Oct 2024,64,428,23,157,48,192,5,379943734774
Goldman Sachs,https://www.crunchbase.com/organization/goldman-sachs,Oct 2024,7,489,20,66,49,283,21,573900999607
SBVA,https://www.crunchbase.com/organization/softbank-ventures-korea,Oct 2024,0,24,19,0,0,0,0,1362948516
DST Global,https://www.crunchbase.com/organization/digital-sky-technologies-fo,Oct 2024,2,172,19,19,0,129,6,85303206788
Bpifrance,https://www.crunchbase.com/organization/bpifrance,Oct 2024,54,110,18,38,18,39,20,21633921190
Celesta Capital,https://www.crunchbase.com/organization/wrvi-capital,Oct 2024,5,50,18,17,4,5,0,3166173662
QuantumLight,https://www.crunchbase.com/organization/quantum-light,Oct 2024,0,16,16,0,0,0,0,694275809
Elevate Ventures,https://www.crunchbase.com/organization/elevate-ventures,Oct 2024,33,39,13,20,10,18,0,1230050000
Atinum Partners,https://www.crunchbase.com/organization/atinum-partners,Oct 2024,0,43,12,0,0,29,0,6616285754
3VC,https://www.crunchbase.com/organization/3vc,Oct 2024,2,19,12,5,0,4,0,813670496
Mitsui & Co,https://www.crunchbase.com/organization/mitsui,Oct 2024,0,44,10,20,3,0,0,13976508000
Mucker Capital,https://www.crunchbase.com/organization/muckercapital,Oct 2024,48,45,9,35,14,18,8,2487410000
Citi,https://www.crunchbase.com/organization/citigroup,Oct 2024,9,296,9,55,15,160,45,522212541571
10x Founders,https://www.crunchbase.com/organization/10x-founders,Oct 2024,28,4,8,4,1,7,0,270971728
Gávea Angels,https://www.crunchbase.com/organization/gvea-angels,Oct 2024,0,7,7,0,0,0,0,17500000
SignalFire,https://www.crunchbase.com/organization/signal-fire,Oct 2024,40,109,7,60,5,31,9,7000875000
Reid Hoffman,https://www.crunchbase.com/person/reid-hoffman,Oct 2024,7,6,6,3,0,1,0,3184520000
Drive Capital,https://www.crunchbase.com/organization/drive-capital,Oct 2024,22,90,6,32,0,48,4,19770550892
Everywhere Ventures,https://www.crunchbase.com/organization/everywhere-ventures,Oct 2024,10,4,5,4,0,4,0,502109544
Acrew Capital,https://www.crunchbase.com/organization/acrew-capital,Oct 2024,17,119,5,15,37,72,4,23583380400
Michele Catasta,https://www.crunchbase.com/person/michele-catasta-6dcf,Oct 2024,5,0,4,0,0,0,0,81148964
Kai Romberg,https://www.crunchbase.com/person/kai-romberg,Oct 2024,4,0,4,0,0,0,0,19406992
"Johann ""Hansi"" Hansmann",https://www.crunchbase.com/person/hansi-hansmann,Oct 2024,4,0,4,0,0,0,0,19406992
Akshay Kothari,https://www.crunchbase.com/person/akshay-kothari,Oct 2024,7,13,4,3,0,0,0,1611100000
Morgan Stanley,https://www.crunchbase.com/organization/morgan-stanley,Oct 2024,5,99,3,9,16,43,2,361734244544
TTV Capital,https://www.crunchbase.com/organization/ttv-capital,Oct 2024,33,113,3,20,14,76,15,17107552384
Touring Capital,https://www.crunchbase.com/organization/touring-capital,Oct 2024,0,18,3,0,0,0,0,1940000000
SoftBank Investment Advisers,https://www.crunchbase.com/organization/softbank-investment-advisers,Oct 2024,0,3,3,0,0,0,0,123000000
Sumitomo Mitsui Banking Corporation,https://www.crunchbase.com/organization/sumitomo-mitsui-banking-corporation,Oct 2024,1,61,3,6,0,39,0,305515332308
Altos Ventures,https://www.crunchbase.com/organization/altos-ventures,Oct 2024,7,66,3,4,0,55,0,25071694275
Partech,https://www.crunchbase.com/organization/partech,Oct 2024,41,130,2,22,28,73,34,11992704611
Spark Capital,https://www.crunchbase.com/organization/spark-capital,Oct 2024,38,207,2,42,21,71,39,224241932923
Wayra Brasil,https://www.crunchbase.com/organization/wayra-brasil,Oct 2024,4,2,2,4,0,0,0,7393300
Serena,https://www.crunchbase.com/organization/serena-capital,Oct 2024,8,12,2,6,4,1,1,1083290865
Wells Fargo,https://www.crunchbase.com/organization/wells-fargo-bank,Oct 2024,0,51,2,21,0,13,2,291316208763
Unusual Ventures,https://www.crunchbase.com/organization/unusual-ventures,Oct 2024,35,42,2,1,18,8,3,3738013100
a16z Scout Fund,https://www.crunchbase.com/organization/a16z-scout-fund,Oct 2024,3,2,2,0,0,2,0,26000000
SF Angels Group,https://www.crunchbase.com/organization/sf-angels-group,Oct 2024,0,2,2,0,0,0,0,0
